1146	903
759	253
794	156
757	526
1164	607
884	142
1386	852
1645	859
1011	904
1129	52
1680	85
628	726
624	816
1089	392
1525	129
1055	271
1499	730
1005	347
1073	652
1744	122
1051	855
1061	267
949	526
614	497
391	123
1205	370
398	641
164	866
763	255
1217	539
600	844
946	148
1271	50
305	465
695	440
826	55
1478	98
1526	932
1282	352
1423	410
1408	558
210	705
1466	422
677	174
460	271
1315	915
1542	690
1659	494
1450	572
1069	271
1210	736
535	870
1654	947
1506	161
1227	118
433	710
1011	407
1712	673
1204	588
1396	330
400	614
1071	542
1072	378
1690	184
1574	650
319	459
945	347
1640	267
971	861
1410	294
69	289
239	632
615	943
435	562
432	528
219	837
347	449
589	347
876	712
1572	108
1032	689
1235	326
719	577
707	641
240	470
822	835
404	560
986	173
657	342
507	545
574	946
1592	224
1132	752
1528	390
943	321
404	255
1202	473
1531	125
1538	434
827	754
1126	664
382	669
1473	463
1500	385
917	152
923	61
1131	873
1527	862
827	475
213	367
909	752
1686	344
500	606
1305	583
1645	875
101	851
272	493
210	686
710	763
1591	107
398	193
145	305
449	313
1562	924
609	641
360	478
1487	166
1351	197
501	212
190	859
175	528
1383	127
239	511
1661	172
132	64
1118	360
1368	365
295	643
537	306
1491	274
1362	252
773	867
307	570
1410	231
950	819
1654	280
174	539
928	428
1358	891
1677	486
1512	152
866	136
1012	372
489	926
1155	941
1257	123
789	863
696	631
1534	917
835	109
178	255
1317	91
1337	819
408	295
926	593
1720	376
820	586
101	126
842	745
1029	283
156	126
321	892
738	481
796	208
553	662
1214	617
398	395
1126	589
532	725
1292	63
1706	777
1582	78
874	503
1169	67
1381	662
669	220
58	796
1009	773
154	743
214	332
1122	193
944	272
634	805
371	159
703	535
59	737
1587	799
121	541
1696	345
946	523
1185	933
342	547
1666	555
1475	702
1089	342
1606	654
303	298
1436	877
353	187
1622	231
945	625
757	273
453	939
879	151
627	311
254	569
256	348
1612	403
1073	447
1139	82
386	936
1588	591
1298	563
162	166
851	882
1419	931
1304	213
1746	350
1343	152
337	366
200	626
103	282
387	249
651	259
901	193
239	77
1226	530
480	849
1333	921
1278	612
425	162
568	458
507	182
1659	829
437	712
1227	465
1318	345
1088	718
1637	249
1522	830
1692	425
1125	789
52	872
1401	509
779	518
1229	662
1403	132
187	316
1070	149
1471	610
1420	185
149	100
892	721
502	804
559	380
635	449
724	74
1396	752
889	518
364	84
871	621
1710	65
676	930
421	610
1733	216
1482	888
1028	637
1314	299
1344	289
379	309
1100	782
1584	169
1627	328
89	586
360	68
225	113
535	167
1390	821
216	581
1306	334
156	343
1253	536
720	458
1236	859
205	798
381	344
737	943
878	767
779	624
814	557
98	369
1567	252
1730	295
835	601
1004	696
1282	718
1427	805
1202	802
244	497
645	550
130	478
1524	426
1561	663
1624	413
906	149
785	271
231	451
1508	405
727	406
527	454
1000	81
581	316
158	118
324	177
413	554
361	226
1269	272
394	323
1234	154
1544	569
998	107
550	808
233	813
538	324
1048	611
1701	408
967	283
1154	774
1334	79
1340	178
223	65
86	154
945	353
1109	675
984	947
488	786
1441	919
1311	786
711	942
974	266
1616	622
874	98
190	101
814	755
969	707
544	705
249	318
1538	734
1242	943
1216	785
752	920
853	468
214	908
906	887
1367	495
1544	893
1255	432
973	745
1188	141
185	524
468	334
975	705
520	905
878	510
743	134
1632	534
650	715
1622	68
300	847
1670	947
877	413
1639	275
768	248
586	453
1346	125
1150	371
175	377
121	119
623	94
730	590
798	497
171	777
929	565
429	876
405	451
1111	540
1498	930
1069	875
189	406
1693	913
1663	494
1667	106
990	107
1426	187
539	600
1462	635
1214	648
1675	355
909	427
1232	238
604	144
1362	572
826	479
88	449
1093	435
1123	130
1228	677
726	539
