210	77
99	123
39	285
476	255
1288	146
1443	126
1571	110
1649	97
1607	108
1400	178
1261	229
894	364
842	394
836	407
893	418
1268	415
1423	405
1571	382
1710	365
1817	353
1866	353
1616	466
1453	539
1274	598
1084	665
662	837
655	847
1580	741
1817	690
1891	613
1851	636
1542	774
1454	818
1421	841
1421	850
596	727
457	714
388	697
535	593
667	515
820	421
1295	108
1200	44
1073	27
433	41
178	59
7	104
93	91
250	53
459	60
1243	129
451	355
32	541
356	531
579	521
1070	481
1306	460
1496	456
1650	471
1278	576
1104	625
939	663
811	700
1066	685
1543	600
1646	587
1672	585
1428	599
1244	619
1036	641
816	669
312	752
301	756
325	758
431	756
599	736
1533	328
1587 658
957	669
701	698
429	523
668	338
1123	245
1504	56
1496	47
1432	40
1284	19
20	95
131	82
303	51
1237	266
1030	352
854	425
762	476
765	490
832	502
1667	530
1893	635
1825	657
